                                                        min       max  \
sanity.data_mismatch.score                         0.000000  0.000000   
sanity.common_rows_proportion.score                0.000000  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.511867  0.511867   
sanity.close_values_probability.score              0.110390  0.110390   
sanity.distant_values_probability.score            0.097403  0.097403   
stats.jensenshannon_dist.marginal                  0.043786  0.043786   
stats.chi_squared_test.marginal                    0.346067  0.346067   
stats.inv_kl_divergence.marginal                   0.394867  0.394867   
stats.ks_test.marginal                             0.492063  0.492063   
stats.max_mean_discrepancy.joint                   0.012987  0.012987   
stats.wasserstein_dist.joint                       0.639408  0.639408   
stats.prdc.precision                               0.805195  0.805195   
stats.prdc.recall                                  0.266234  0.266234   
stats.prdc.density                                 0.444156  0.444156   
stats.prdc.coverage                                0.084416  0.084416   
stats.alpha_precision.delta_precision_alpha_OC     0.082684  0.082684   
stats.alpha_precision.delta_coverage_beta_OC       0.030303  0.030303   
stats.alpha_precision.authenticity_OC              0.987013  0.987013   
stats.alpha_precision.delta_precision_alpha_naive  0.048485  0.048485   
stats.alpha_precision.delta_coverage_beta_naive    0.010823  0.010823   
stats.alpha_precision.authenticity_naive           0.941558  0.941558   
performance.linear_model.gt                        0.821528  0.821528   
performance.linear_model.syn_id                    0.416840  0.416840   
performance.linear_model.syn_ood                   0.386364  0.386364   
performance.mlp.gt                                 0.441406  0.441406   
performance.mlp.syn_id                             0.500000  0.500000   
performance.mlp.syn_ood                            0.500000  0.500000   
performance.xgb.gt                                 0.765799  0.765799   
performance.xgb.syn_id                             0.619097  0.619097   
performance.xgb.syn_ood                            0.559091  0.559091   
performance.linear_model_augmentation.gt           0.821528  0.821528   
performance.linear_model_augmentation.aug_ood      0.386364  0.386364   
performance.mlp_augmentation.gt                    0.441406  0.441406   
performance.mlp_augmentation.aug_ood               0.500000  0.500000   
performance.xgb_augmentation.gt                    0.765799  0.765799   
performance.xgb_augmentation.aug_ood               0.559091  0.559091   
performance.feat_rank_distance.corr                0.148387  0.148387   
performance.feat_rank_distance.pvalue              0.250083  0.250083   
detection.detection_xgb.mean                       0.998536  0.998536   
detection.detection_mlp.mean                       0.490010  0.490010   
detection.detection_gmm.mean                       0.339237  0.339237   
detection.detection_linear.mean                    0.996857  0.996857   
privacy.delta-presence.score                       6.000000  6.000000   
privacy.k-anonymization.gt                         1.000000  1.000000   
privacy.k-anonymization.syn                        1.000000  1.000000   
privacy.k-map.score                                1.000000  1.000000   
privacy.distinct l-diversity.gt                    1.000000  1.000000   
privacy.distinct l-diversity.syn                   1.000000  1.000000   
privacy.identifiability_score.score                0.038961  0.038961   
privacy.identifiability_score.score_OC             0.045455  0.045455   
privacy.DomiasMIA_BNAF.accuracy                    0.055888  0.055888   
privacy.DomiasMIA_BNAF.aucroc                      0.518330  0.518330   
privacy.DomiasMIA_KDE.accuracy                     0.499002  0.499002   
privacy.DomiasMIA_KDE.aucroc                       0.491242  0.491242   
privacy.DomiasMIA_prior.accuracy                   0.499002  0.499002   
privacy.DomiasMIA_prior.aucroc                     0.491242  0.491242   

                                                       mean  stddev    median  \
sanity.data_mismatch.score                         0.000000     0.0  0.000000   
sanity.common_rows_proportion.score                0.000000     0.0  0.000000   
sanity.nearest_syn_neighbor_distance.mean          0.511867     0.0  0.511867   
sanity.close_values_probability.score              0.110390     0.0  0.110390   
sanity.distant_values_probability.score            0.097403     0.0  0.097403   
stats.jensenshannon_dist.marginal                  0.043786     0.0  0.043786   
stats.chi_squared_test.marginal                    0.346067     0.0  0.346067   
stats.inv_kl_divergence.marginal                   0.394867     0.0  0.394867   
stats.ks_test.marginal                             0.492063     0.0  0.492063   
stats.max_mean_discrepancy.joint                   0.012987     0.0  0.012987   
stats.wasserstein_dist.joint                       0.639408     0.0  0.639408   
stats.prdc.precision                               0.805195     0.0  0.805195   
stats.prdc.recall                                  0.266234     0.0  0.266234   
stats.prdc.density                                 0.444156     0.0  0.444156   
stats.prdc.coverage                                0.084416     0.0  0.084416   
stats.alpha_precision.delta_precision_alpha_OC     0.082684     0.0  0.082684   
stats.alpha_precision.delta_coverage_beta_OC       0.030303     0.0  0.030303   
stats.alpha_precision.authenticity_OC              0.987013     0.0  0.987013   
stats.alpha_precision.delta_precision_alpha_naive  0.048485     0.0  0.048485   
stats.alpha_precision.delta_coverage_beta_naive    0.010823     0.0  0.010823   
stats.alpha_precision.authenticity_naive           0.941558     0.0  0.941558   
performance.linear_model.gt                        0.821528     0.0  0.821528   
performance.linear_model.syn_id                    0.416840     0.0  0.416840   
performance.linear_model.syn_ood                   0.386364     0.0  0.386364   
performance.mlp.gt                                 0.441406     0.0  0.441406   
performance.mlp.syn_id                             0.500000     0.0  0.500000   
performance.mlp.syn_ood                            0.500000     0.0  0.500000   
performance.xgb.gt                                 0.765799     0.0  0.765799   
performance.xgb.syn_id                             0.619097     0.0  0.619097   
performance.xgb.syn_ood                            0.559091     0.0  0.559091   
performance.linear_model_augmentation.gt           0.821528     0.0  0.821528   
performance.linear_model_augmentation.aug_ood      0.386364     0.0  0.386364   
performance.mlp_augmentation.gt                    0.441406     0.0  0.441406   
performance.mlp_augmentation.aug_ood               0.500000     0.0  0.500000   
performance.xgb_augmentation.gt                    0.765799     0.0  0.765799   
performance.xgb_augmentation.aug_ood               0.559091     0.0  0.559091   
performance.feat_rank_distance.corr                0.148387     0.0  0.148387   
performance.feat_rank_distance.pvalue              0.250083     0.0  0.250083   
detection.detection_xgb.mean                       0.998536     0.0  0.998536   
detection.detection_mlp.mean                       0.490010     0.0  0.490010   
detection.detection_gmm.mean                       0.339237     0.0  0.339237   
detection.detection_linear.mean                    0.996857     0.0  0.996857   
privacy.delta-presence.score                       6.000000     0.0  6.000000   
privacy.k-anonymization.gt                         1.000000     0.0  1.000000   
privacy.k-anonymization.syn                        1.000000     0.0  1.000000   
privacy.k-map.score                                1.000000     0.0  1.000000   
privacy.distinct l-diversity.gt                    1.000000     0.0  1.000000   
privacy.distinct l-diversity.syn                   1.000000     0.0  1.000000   
privacy.identifiability_score.score                0.038961     0.0  0.038961   
privacy.identifiability_score.score_OC             0.045455     0.0  0.045455   
privacy.DomiasMIA_BNAF.accuracy                    0.055888     0.0  0.055888   
privacy.DomiasMIA_BNAF.aucroc                      0.518330     0.0  0.518330   
privacy.DomiasMIA_KDE.accuracy                     0.499002     0.0  0.499002   
privacy.DomiasMIA_KDE.aucroc                       0.491242     0.0  0.491242   
privacy.DomiasMIA_prior.accuracy                   0.499002     0.0  0.499002   
privacy.DomiasMIA_prior.aucroc                     0.491242     0.0  0.491242   

                                                   iqr rounds errors  \
sanity.data_mismatch.score                         0.0      1      0   
sanity.common_rows_proportion.score                0.0      1      0   
sanity.nearest_syn_neighbor_distance.mean          0.0      1      0   
sanity.close_values_probability.score              0.0      1      0   
sanity.distant_values_probability.score            0.0      1      0   
stats.jensenshannon_dist.marginal                  0.0      1      0   
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
