                                                        min       max  \
privacy.DomiasMIA_KDE.aucroc                       0.338900     0.0  0.338900   
privacy.DomiasMIA_prior.accuracy                   0.491018     0.0  0.491018   
privacy.DomiasMIA_prior.aucroc                     0.338900     0.0  0.338900   

                                                   iqr rounds errors  \
sanity.data_mismatch.score                         0.0      1      0   
sanity.common_rows_proportion.score                0.0      1      0   
sanity.nearest_syn_neighbor_distance.mean          0.0      1      0   
sanity.close_values_probability.score              0.0      1      0   
sanity.distant_values_probability.score            0.0      1      0   
stats.jensenshannon_dist.marginal                  0.0      1      0   
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
stats.alpha_precision.authenticity_naive           0.0      1      0   
performance.linear_model.gt                        0.0      1      0   
performance.linear_model.syn_id                    0.0      1      0   
performance.linear_model.syn_ood                   0.0      1      0   
performance.mlp.gt                                 0.0      1      0   
performance.mlp.syn_id                             0.0      1      0   
performance.mlp.syn_ood                            0.0      1      0   
performance.xgb.gt                                 0.0      1      0   
performance.xgb.syn_id                             0.0      1      0   
performance.xgb.syn_ood                            0.0      1      0   
performance.linear_model_augmentation.gt           0.0      1      0   
performance.linear_model_augmentation.aug_ood      0.0      1      0   
performance.mlp_augmentation.gt                    0.0      1      0   
performance.mlp_augmentation.aug_ood               0.0      1      0   
performance.xgb_augmentation.gt                    0.0      1      0   
performance.xgb_augmentation.aug_ood               0.0      1      0   
performance.feat_rank_distance.corr                0.0      1      0   
performance.feat_rank_distance.pvalue              0.0      1      0   
detection.detection_xgb.mean                       0.0      1      0   
detection.detection_mlp.mean                       0.0      1      0   
detection.detection_gmm.mean                       0.0      1      0   
detection.detection_linear.mean                    0.0      1      0   
privacy.delta-presence.score                       0.0      1      0   
privacy.k-anonymization.gt                         0.0      1      0   
privacy.k-anonymization.syn                        0.0      1      0   
privacy.k-map.score                                0.0      1      0   
privacy.distinct l-diversity.gt                    0.0      1      0   
privacy.distinct l-diversity.syn                   0.0      1      0   
privacy.identifiability_score.score                0.0      1      0   
privacy.identifiability_score.score_OC             0.0      1      0   
privacy.DomiasMIA_BNAF.accuracy                    0.0      1      0   
privacy.DomiasMIA_BNAF.aucroc                      0.0      1      0   
