                                                        min       max  \
stats.chi_squared_test.marginal                    0.0      1      0   
stats.inv_kl_divergence.marginal                   0.0      1      0   
stats.ks_test.marginal                             0.0      1      0   
stats.max_mean_discrepancy.joint                   0.0      1      0   
stats.wasserstein_dist.joint                       0.0      1      0   
stats.prdc.precision                               0.0      1      0   
stats.prdc.recall                                  0.0      1      0   
stats.prdc.density                                 0.0      1      0   
stats.prdc.coverage                                0.0      1      0   
stats.alpha_precision.delta_precision_alpha_OC     0.0      1      0   
stats.alpha_precision.delta_coverage_beta_OC       0.0      1      0   
stats.alpha_precision.authenticity_OC              0.0      1      0   
stats.alpha_precision.delta_precision_alpha_naive  0.0      1      0   
stats.alpha_precision.delta_coverage_beta_naive    0.0      1      0   
stats.alpha_precision.authenticity_naive           0.0      1      0   
performance.linear_model.gt                        0.0      1      0   
performance.linear_model.syn_id                    0.0      1      0   
performance.linear_model.syn_ood                   0.0      1      0   
performance.mlp.gt                                 0.0      1      0   
performance.mlp.syn_id                             0.0      1      0   
performance.mlp.syn_ood                            0.0      1      0   
performance.xgb.gt                                 0.0      1      0   
performance.xgb.syn_id                             0.0      1      0   
performance.xgb.syn_ood                            0.0      1      0   
performance.linear_model_augmentation.gt           0.0      1      0   
performance.linear_model_augmentation.aug_ood      0.0      1      0   
performance.mlp_augmentation.gt                    0.0      1      0   
performance.mlp_augmentation.aug_ood               0.0      1      0   
performance.xgb_augmentation.gt                    0.0      1      0   
performance.xgb_augmentation.aug_ood               0.0      1      0   
performance.feat_rank_distance.corr                0.0      1      0   
performance.feat_rank_distance.pvalue              0.0      1      0   
detection.detection_xgb.mean                       0.0      1      0   
detection.detection_mlp.mean                       0.0      1      0   
detection.detection_gmm.mean                       0.0      1      0   
detection.detection_linear.mean                    0.0      1      0   
privacy.delta-presence.score                       0.0      1      0   
privacy.k-anonymization.gt                         0.0      1      0   
privacy.k-anonymization.syn                        0.0      1      0   
privacy.k-map.score                                0.0      1      0   
privacy.distinct l-diversity.gt                    0.0      1      0   
privacy.distinct l-diversity.syn                   0.0      1      0   
privacy.identifiability_score.score                0.0      1      0   
privacy.identifiability_score.score_OC             0.0      1      0   
privacy.DomiasMIA_BNAF.accuracy                    0.0      1      0   
privacy.DomiasMIA_BNAF.aucroc                      0.0      1      0   

                                                   durations  
sanity.data_mismatch.score                              0.00  
sanity.common_rows_proportion.score                     0.00  
sanity.nearest_syn_neighbor_distance.mean               0.00  
sanity.close_values_probability.score                   0.00  
sanity.distant_values_probability.score                 0.00  
stats.jensenshannon_dist.marginal                       0.08  
stats.chi_squared_test.marginal                         0.01  
stats.inv_kl_divergence.marginal                        0.01  
stats.ks_test.marginal                                  0.01  
stats.max_mean_discrepancy.joint                        0.01  
stats.wasserstein_dist.joint                            0.02  
stats.prdc.precision                                    0.01  
stats.prdc.recall                                       0.01  
stats.prdc.density                                      0.01  
stats.prdc.coverage                                     0.01  
stats.alpha_precision.delta_precision_alpha_OC          3.15  
stats.alpha_precision.delta_coverage_beta_OC            3.15  
stats.alpha_precision.authenticity_OC                   3.15  
stats.alpha_precision.delta_precision_alpha_naive       3.15  
stats.alpha_precision.delta_coverage_beta_naive         3.15  
stats.alpha_precision.authenticity_naive                3.15  
performance.linear_model.gt                             0.34  
performance.linear_model.syn_id                         0.34  
performance.linear_model.syn_ood                        0.34  
performance.mlp.gt                                      8.55  
performance.mlp.syn_id                                  8.55  
performance.mlp.syn_ood                                 8.55  
performance.xgb.gt                                      0.57  
performance.xgb.syn_id                                  0.57  
performance.xgb.syn_ood                                 0.57  
performance.linear_model_augmentation.gt                0.37  
performance.linear_model_augmentation.aug_ood           0.37  
performance.mlp_augmentation.gt                         8.73  
performance.mlp_augmentation.aug_ood                    8.73  
performance.xgb_augmentation.gt                         0.54  
performance.xgb_augmentation.aug_ood                    0.54  
performance.feat_rank_distance.corr                     0.17  
performance.feat_rank_distance.pvalue                   0.17  
detection.detection_xgb.mean                            0.13  
detection.detection_mlp.mean                            3.38  
detection.detection_gmm.mean                            0.23  
detection.detection_linear.mean                        32.30  
privacy.delta-presence.score                            0.06  
privacy.k-anonymization.gt                              0.10  
privacy.k-anonymization.syn                             0.10  
privacy.k-map.score                                     0.06  
privacy.distinct l-diversity.gt                         0.12  
privacy.distinct l-diversity.syn                        0.12  
privacy.identifiability_score.score                     0.03  
privacy.identifiability_score.score_OC                  0.03  
privacy.DomiasMIA_BNAF.accuracy                        54.75  
privacy.DomiasMIA_BNAF.aucroc                          54.75  
